formulas,mpid,Wf,label,A-A,A-B,A-C,B-B,B-C,C-C,lattice constant,N,k,n_A,n_B,n_C,ionic r_A,ionic r_B,ionic r_C,electronegativity_A,electronegativity_B,electronegativity_C,r_A,r_B,r_C,m_A,m_B,m_C,group_A,group_B,group_C,period_A,period_B,period_C,absolute boiling point_A,absolute boiling point_B,absolute boiling point_C,absolute melting point_A,absolute melting point_B,absolute melting point_C,covalent r_A,covalent r_B,covalent r_C,s_A,s_B,s_C,p_A,p_B,p_C,d_A,d_B,d_C,electron affinity_A,electron affinity_B,electron affinity_C,first ionization energy_A,first ionization energy_B,first ionization energy_C,heat of fusion_A,heat of fusion_B,heat of fusion_C,heat of vaporization_A,heat of vaporization_B,heat of vaporization_C,polarizability_A,polarizability_B,polarizability_C,atomic number_A,atomic number_B,atomic number_C,3d,second ionization energy_A,second ionization energy_B,second ionization energy_C,boiling point_A,boiling point_B,boiling point_C,melting point_A,melting point_B,melting point_C
AgH3O2,mp-769355,5.28,1,3.045451536,5,2.130610922,5,0.977510208,5,6.081299782,12,0.506774982,1,3,2,115,37,140,1.93,2.2,3.44,144,53,73,107.8,1,16,11,1,16,5,1,2,2435,20.28,90.2,1234.93,14.01,54.8,145,31,66,1,1,2,0,0,4,10,0,0,125.6,72.8,141,731,1312,1313.9,11.3,0.56,0.22,255,0.45,3.41,7.2,0.67,0.8,47,1,8,FALSE,2070,1312,3388.3,2162,-252.87,-182.9,961.78,-259.14,-218.3
AgNO2,mp-5770,6.62,1,5,2.229419828,2.451183022,5,1.264869378,5,5.110300064,4,1.277575016,1,1,2,115,16,140,1.93,3.04,3.44,144,75,73,107.8,14,16,11,15,16,5,2,2,2435,77.36,90.2,1234.93,63.05,54.8,145,71,66,1,2,2,0,3,4,10,0,0,125.6,7,141,731,1402.3,1313.9,11.3,0.36,0.22,255,2.79,3.41,7.2,1.1,0.8,47,7,8,FALSE,2070,2856,3388.3,2162,-195.79,-182.9,961.78,-210.1,-218.3
Al3Te3I,mp-28693,3.65,1,2.553383054,2.698829136,2.500971305,5,5,5,4.152999878,14,0.296642848,3,3,1,54,221,220,1.61,2.1,2.66,143,135,133,27,127.6,126.9,13,16,17,3,5,5,2792,1261,457.4,933.47,722.66,386.85,121,138,139,2,2,2,1,4,5,0,10,10,42.5,190.2,295.2,577.5,869.3,1008.4,10.7,17.5,7.76,293,48,20.9,6.8,5.5,4.7,13,52,53,FALSE,1816.7,1790,1845.9,2519,988,184.3,660.32,449.51,113.7
AlBiBr6,mp-31268,7.32,1,5,5,2.340336322,5,2.895411312,5,11.06919956,16,0.691824973,1,1,6,54,103,196,1.61,1.9,2.96,143,146,114,27,209,79.9,13,15,17,3,6,4,2792,1837,332,933.47,544.4,265.8,121,148,120,2,2,2,1,3,5,0,10,10,42.5,91.2,324.6,577.5,703,1139.9,10.7,10.9,5.8,293,160,14.8,6.8,7.4,3.05,13,83,35,FALSE,1816.7,1610,2103,2519,1564,59,660.32,271.3,-7.3
AlPS4,mp-27462,5.75,1,5,5,2.265907091,5,2.067399959,5,5.692671334,6,0.948778556,1,1,4,54,17,184,1.61,2.19,2.58,143,106,102,27,31,32.1,13,15,16,3,3,3,2792,553.6,717.87,933.47,317.3,388.36,121,107,105,2,2,2,1,3,4,0,0,0,42.5,71,200,577.5,1011.8,999.6,10.7,0.64,1.73,293,12.4,9.8,6.8,3.63,2.9,13,15,16,FALSE,1816.7,1907,2252,2519,280.5,444.72,660.32,44.2,115.21
As2PbS4,mp-19941,5.56,1,5,5,2.799382062,5,2.353376837,5,3.759500027,7,0.537071432,1,2,4,119,58,184,1.8,2.18,2.58,175,119,102,207.2,74.9,32.1,14,15,16,6,4,3,2022,887,717.87,600.61,1090,388.36,146,119,105,2,2,2,2,3,4,10,10,0,35.1,78,200,715.6,947,999.6,4.77,27.7,1.73,178,32.4,9.8,6.8,4.31,2.9,82,33,16,FALSE,1450.5,1798,2252,1749,614,444.72,327.46,817,115.21
AsSeI,mp-505373,5.77,1,5,2.628357415,2.92218579,5,5,5,3.96420002,6,0.660700003,1,1,1,58,198,220,2.18,2.55,2.66,119,116,133,74.9,78.9,126.9,15,16,17,4,4,5,887,958,457.4,1090,494,386.85,119,120,139,2,2,2,3,4,5,10,10,10,78,195,295.2,947,941,1008.4,27.7,5.4,7.76,32.4,26,20.9,4.31,3.77,4.7,33,34,53,FALSE,1798,2045,1845.9,614,685,184.3,817,221,113.7
AuBrF6,mp-30159,8.34,1,5,5,1.978255458,5,1.976317707,5,5.788000107,8,0.723500013,1,1,6,85,196,133,2.4,2.96,3.98,144,114,71,197,79.9,18.9,11,17,17,6,4,2,3129,332,85.03,1337.33,265.8,53.5,136,120,57,1,2,2,0,5,5,10,10,0,222.8,324.6,328,890.1,1139.9,1681,12.5,5.8,0.26,330,14.8,3.27,5.8,3.05,0.56,79,35,9,FALSE,1980,2103,3374.2,2856,59,-188.12,1064.18,-7.3,-219.6
AuSeBr,mp-27199,6.83,1,5,2.529011402,2.454008463,5,5,5,7.141300201,12,0.59510835,1,1,1,85,198,196,2.4,2.55,2.96,144,116,114,197,78.9,79.9,11,16,17,6,4,4,3129,958,332,1337.33,494,265.8,136,120,120,1,2,2,0,4,5,10,10,10,222.8,195,324.6,890.1,941,1139.9,12.5,5.4,5.8,330,26,14.8,5.8,3.77,3.05,79,34,35,FALSE,1980,2045,2103,2856,685,59,1064.18,221,-7.3
Bi3O4F,mp-760758,5.9,1,5,2.277309361,2.344651881,5,5,5,3.540699959,16,0.221293747,3,4,1,103,140,133,1.9,3.44,3.98,146,73,71,209,16,18.9,15,16,17,6,2,2,1837,90.2,85.03,544.4,54.8,53.5,148,66,57,2,2,2,3,4,5,10,0,0,91.2,141,328,703,1313.9,1681,10.9,0.22,0.26,160,3.41,3.27,7.4,0.8,0.56,83,8,9,FALSE,1610,3388.3,3374.2,1564,-182.9,-188.12,271.3,-218.3,-219.6
